ID;Tipo;SKU;Nombre;Publicado;Visibilidad en el catálogo;Inventario; Precio rebajado ; Precio normal ;10%;15%;20%;25%;30%;35%
36410;variation;;CORRECTOR INSTANT AGE REWIND ERASER TREATMENT - CREAMY NATURAL;1;visible;;; $35.000 ; $31.500 ; $26.775 ; $21.420 ; $16.065 ; $11.246 ; $7.310 
36412;variation;;CORRECTOR INSTANT AGE REWIND ERASER TREATMENT - MEDIUM BEIGE;1;visible;;; $35.000 ; $31.500 ; $26.775 ; $21.420 ; $16.065 ; $11.246 ; $7.310 
36413;variation;;CORRECTOR INSTANT AGE REWIND ERASER TREATMENT - NUDE;1;visible;;; $35.000 ; $31.500 ; $26.775 ; $21.420 ; $16.065 ; $11.246 ; $7.310 
36414;variation;;CORRECTOR INSTANT AGE REWIND ERASER TREATMENT - PURE BEIGE;1;visible;;; $35.000 ; $31.500 ; $26.775 ; $21.420 ; $16.065 ; $11.246 ; $7.310 
37463;variation;;MAGIC BRA - BEIGE, A;0;visible;;;16000;;;;;;
36415;variation;;CORRECTOR INSTANT AGE REWIND ERASER TREATMENT - SANDY BEIGE;1;visible;;; $35.000 ; $31.500 ; $26.775 ; $21.420 ; $16.065 ; $11.246 ; $7.310 
35475;variable;;CORRECTOR PRO CONCEALER;1;visible;;;; $- ; $- ; $- ; $- ; $- ; $- 
35476;variation;;CORRECTOR PRO CONCEALER - GC990;1;visible;;; $15.000 ; $13.500 ; $11.475 ; $9.180 ; $6.885 ; $4.820 ; $3.133 
37467;variation;;MAGIC BRA - NEGRO, A;0;visible;;;16000;;;;;;
35477;variation;;CORRECTOR PRO CONCEALER - GC991;1;visible;;; $15.000 ; $13.500 ; $11.475 ; $9.180 ; $6.885 ; $4.820 ; $3.133 
35478;variation;;CORRECTOR PRO CONCEALER - GC992;1;visible;;; $15.000 ; $13.500 ; $11.475 ; $9.180 ; $6.885 ; $4.820 ; $3.133 
63669;variation;;COSMETIQUERA TORNASOL - TORNASOL HIELO;1;visible;83;; $15.000 ; $13.500 ; $11.475 ; $9.180 ; $6.885 ; $4.820 ; $3.133 
63661;variation;;COSMETIQUERA TORNASOL - TORNASOL MORADO;1;visible;32;; $15.000 ; $13.500 ; $11.475 ; $9.180 ; $6.885 ; $4.820 ; $3.133 
124685;simple;;CRYSTAL LIP GLAZE (gloss);1;visible;;; $7.000 ; $6.300 ; $5.355 ; $4.284 ; $3.213 ; $2.249 ; $1.462 
37488;variation;;Depilador Facial - Recargable - ROSADO;0;visible;;;40000;;;;;;
37489;variation;;Depilador Facial - Recargable - NEGRO;0;visible;;;40000;;;;;;
37490;variation;;Depilador Facial - Recargable - ROJO;0;visible;;;40000;;;;;;
37492;variable;;Depilador Facial - Pilas;1;visible;;;; $- ; $- ; $- ; $- ; $- ; $- 
37493;variation;;Depilador Facial - Pilas - BLANCO;1;visible;400;; $25.000 ; $22.500 ; $19.125 ; $15.300 ; $11.475 ; $8.033 ; $5.221 
37494;variation;;Depilador Facial - Pilas - ROSADO;0;visible;;;25000;;;;;;
37495;variation;;Depilador Facial - Pilas - NEGRO;0;visible;;;25000;;;;;;
37496;variation;;Depilador Facial - Pilas - ROJO;0;visible;;;25000;;;;;;
37878;simple;;COMBO MASCARA;'-1;visible;;;20000;;;;;;
37882;simple;;COMBO BARELYNUDE;'-1;visible;;;40000;;;;;;
37888;simple;;COMBO SHIMMER;'-1;visible;;;30000;;;;;;
37890;simple;;COMBO CUIDADO FACIAL;'-1;visible;;;30000;;;;;;
39246;simple;;COMBO NEGRO;'-1;visible;;;50000;;;;;;
39248;simple;;COMBO WAX;'-1;visible;;;20000;;;;;;
39251;simple;;COMBO SHINY;'-1;visible;;;40000;;;;;;
39257;simple;;COMBO COLOSSAL;'-1;visible;;;50000;;;;;;
39261;simple;;COMBO CARACOL;'-1;visible;;;20000;;;;;;
39267;simple;;COMBO BH;'-1;visible;;;50000;;;;;;
37477;variable;;Depilador Facial - Recargable;1;visible;;;; $- ; $- ; $- ; $- ; $- ; $- 
39396;simple;;PESTA?INA LASH SENSATIONAL;'-1;visible;35;;25000;;;;;;
39434;simple;;BEAUTY BLENDER SNAPCHIC;'-1;visible;;;20000;;;;;;
39458;simple;;COMBO LUNA;'-1;visible;;;90000;;;;;;
39460;simple;;COMBO REAL NUDE;'-1;visible;;;50000;;;;;;
39462;simple;;COMBO DEPILADOR;'-1;visible;;;30000;;;;;;
39464;simple;;COMBO BEAUTY;'-1;visible;;;20000;;;;;;
37487;variation;;Depilador Facial - Recargable - BLANCO;1;visible;400;; $40.000 ; $36.000 ; $30.600 ; $24.480 ; $18.360 ; $12.852 ; $8.354 
65725;variable;;DEPILADORA FEMENINA REMINGTON;1;visible;;;; $- ; $- ; $- ; $- ; $- ; $- 
39927;simple;;SOMBRA The Rude AWAKENING - Book 5;'-1;visible;;;70000;;;;;;
66030;variation;;DEPILADORA FEMENINA REMINGTON - ANIMAL PRINT;1;visible;;; $40.000 ; $36.000 ; $30.600 ; $24.480 ; $18.360 ; $12.852 ; $8.354 
66031;variation;;DEPILADORA FEMENINA REMINGTON - FLORES;1;visible;;; $40.000 ; $36.000 ; $30.600 ; $24.480 ; $18.360 ; $12.852 ; $8.354 
43169;simple;;PAPEL DE ARROZ;'-1;visible;;;10000;;;;;;
774;variation;;DESMAQUILLADOR DE OJOS Y LABIOS;1;visible;;; $45.000 ; $40.500 ; $34.425 ; $27.540 ; $20.655 ; $14.459 ; $9.398 
63327;simple;;DESMAQUILLADOR DUAL;1;visible;;; $20.000 ; $18.000 ; $15.300 ; $12.240 ; $9.180 ; $6.426 ; $4.177 
35891;simple;;ENCRESPADOR;1;visible;298;; $20.000 ; $18.000 ; $15.300 ; $12.240 ; $9.180 ; $6.426 ; $4.177 
104213;simple;;ENCRESPADOR RECARGABLE - CARGADOR PORTATIL;1;visible;;; $65.000 ; $58.500 ; $49.725 ; $39.780 ; $29.835 ; $20.885 ; $13.575 
104729;simple;;ESPEJO AGUA;1;visible;80;; $6.000 ; $5.400 ; $4.590 ; $3.672 ; $2.754 ; $1.928 ; $1.253 
50508;simple;;PALETA DE CORRECTORES DEL COLOR COLOUR CORRECTING PALETTE;'-1;visible;;;28000;;;;;;
96100;simple;;ESPEJO DONA;1;visible;;; $5.000 ; $4.500 ; $3.825 ; $3.060 ; $2.295 ; $1.607 ; $1.044 
50764;simple;;ESPEJO EMOJI;1;visible;;; $5.000 ; $4.500 ; $3.825 ; $3.060 ; $2.295 ; $1.607 ; $1.044 
64351;variable;;ESPEJO LED;1;visible;;;; $- ; $- ; $- ; $- ; $- ; $- 
64354;variation;;ESPEJO LED - BLANCO;1;visible;;; $45.000 ; $40.500 ; $34.425 ; $27.540 ; $20.655 ; $14.459 ; $9.398 
64355;variation;;ESPEJO LED - NEGRO;1;visible;;; $45.000 ; $40.500 ; $34.425 ; $27.540 ; $20.655 ; $14.459 ; $9.398 
